0
//Index   Year   Month   Day   DoW   Hour   Minute   Second

0         *      *       *     *     00     00       00   //Skeleton King
 
1         *      *       *     *     23     30       00   //Red Dragon
 
2         *      *       *     *     00     00       00   //Gold Dragons 
2         *      *       *     *     02     38       00   //Gold Dragons 
 
3         *      *       *     *     06     50       00   //White Wizard Lorencia
3         *      *       *     *     15     50       00   //White Wizard Lorencia

12        *      *       *     *     09     50       00   //White Wizard Devias
12        *      *       *     *     18     50       00   //White Wizard Devias

13        *      *       *     *     12     50       00   //White Wizard Noria
13        *      *       *     *     21     50       00   //White Wizard Noria

4         *      *       *     *     22     40       00   //ExceInvasion  - Pouch of Blessing

5         *      *       *     *     22     30       00   //JewelInvasion  - Lunnar Rabbit

6         *      *       *     *     22     50       00   //Umbrellas Item Invasion - Fire Flame Ghost

7         *      *       *     *     2      50       00   //Christmas 
 
//8       *      *       *     *     6      15       00   //Medusa

9         *      *       *     *     01     31       00   //Invoking Demons 

10        *      *       *     6     23     50       00   //Doble Egg invasion

//11      *      *       *     6     23     58       00   //Golden Kundum
 
end

1
//Index   RespawnMessage   DespawnMessage   BossIndex   BossMessage   InvasionTime
0         192              *                55          202           3600    //Skeleton King
1         193              *                42          203           7200    //Red Dragon
2         194              *                79          204           259200  //Gold Dragons
3         195              *                135         205           259200  //White Wizard
4         196              602              *           *             7200    //ExeInvasion
5         197              603              *           *             7200    //Jewels Bunnie
6         198              604              *           *             7200    //Summer Event
7         199              *                476         206           518400  //Crhistmas Invasion
//8         200              494              561         207           518400  //Medusa
9          *               *                *           *             7200    //Invoking Demons
10        211              493              *           *             518400  //Egg invasion
//11         *               496              657         497           518400  //Golden Kundum
12        195              *                135         205           259200  //White Wizard
13        195              *                135         205           259200  //White Wizard
end

2
//Index   Group   Map   Value
0         0       0     0 
1         0       0     0
1         0       2     0
1         0       3     0
2         0       0     0
2         1       2     0
2         2       2     0
2         3       3     0
2         4       0     0
2         4       2     0
2         4       3     0
2         4       51    0
2         5       7     0
2         6       7     0
2         7       8     0
2         8       8     0
2         9       1     0
2         10      4     0
2         11      33    0
2         12      10    0
2         13      37    0
2         14      38    0
2         15      57    0
2         16      56    0
2         17      37    0
2         17      57    0
2         18      51    0
3         0       0     0
3         0       0     1
3         0       0     2
3         0       0     3
3         0       0     4
4         0       6     0
5         0       0     0
//6         0       6     0
7         0       0     0
7         0       2     0
7         0       3     0
//8         0       56    0
//8         0       56    1
//8         0       56    2
//8         0       56    3
9         0       8     0
9         0       33    0
9         0       37    0
9         0       80    0
9         0       81    0
9         0       91    0
10        0       0     0
10        1       3     0
10        2       2     0
//11        0       33    0
12        0       2     0
12        0       2     1
12        0       2     2
12        0       2     3
12        0       2     4
13        0       3     0
13        0       3     1
13        0       3     2
13        0       3     3
13        0       3     4
end

3
//Index   Group   MonsterClass   RegenType   RegenTime
0         0       55             0           0
0         0       56             0           0
1         0       42             0           0
2         0       43             0           0
2         1       53             0           0
2         2       54             0           0
2         3       78             0           0
2         4       79             0           0
2         5       80             0           0
2         6       81             0           0
2         7       82             0           0
2         8       83             0           0
2         9       493            0           0
2         10      494            0           0
2         11      495            0           0
2         12      496            0           0
2         13      497            0           0
2         14      498            0           0
2         15      499            0           0
2         16      500            0           0
2         17      501            0           0
2         18      502            0           0
3         0       135            0           0
3         0       136            0           0
3         0       137            0           0
4         0       365            3000        5
5         0       413            100         6
6         0       463            3000        5
7         0       466            0           0
7         0       476            0           0
8         0       560            0           0
8         0       561            0           0
9         0       652            0           0
10        1       674            0           0
10        0       675            0           0
10        2       676            0           0
11        0       657            0           0
12        0       135            0           0
12        0       136            0           0
12        0       137            0           0
13        0       135            0           0
13        0       136            0           0
13        0       137            0           0
end
