0
//Year   Month   Day   DoW   Hour   Minute   Second
*        *       *     *     06     00       00 
end

1
//Section Type    MaxLevel  Skill     Luck      Option   Excellent
//Index   Group   Option0   Option1   Option2   Option3   Option4   Option5   Option6   GambleRate   Comment
5         0       9         1         1         3         0         0         0         1633         //Blade
6         0       9         1         1         3         0         0         0         1633         //Gladius
7         0       9         1         1         3         0         0         0         1633         //Falchion
8         0       9         1         1         3         0         0         0         1633         //Serpent Sword
9         0       9         1         1         3         0         0         0         1633         //Sword of Salamander
10        0       9         1         1         3         0         0         0         1633         //Light Saber
11        0       9         1         1         3         0         0         0         1633         //Legendary Sword
12        0       9         1         1         3         0         0         0         1633         //Heliacal Sword
13        0       9         1         1         3         0         0         0         1633         //Double Blade
14        0       9         1         1         3         0         0         0         1633         //Lighting Sword 
517       0       9         1         1         3         0         0         0         1633         //Battle Axe
518       0       9         1         1         3         0         0         0         1633         //Nikea Axe
519       0       9         1         1         3         0         0         0         1633         //Larkan Axe
520       0       9         1         1         3         0         0         0         1633         //Crescent Axe
1024      0       9         1         1         3         0         0         0         1633         //Mace
1025      0       9         1         1         3         0         0         0         1633         //Morning Star
1026      0       9         1         1         3         0         0         0         1633         //Flail
1027      0       9         1         1         3         0         0         0         1633         //Great Hammer 
1541      0       9         1         1         3         0         0         0         1633         //Double Poleaxe
1542      0       9         1         1         3         0         0         0         1633         //Halberd
1543      0       9         1         1         3         0         0         0         1633         //Berdysh
1544      0       9         1         1         3         0         0         0         1633         //Great Scythe
1545      0       9         1         1         3         0         0         0         1633         //Bill of Balrog 
2562      1       9         1         1         3         0         0         0         6125         //Serpent Staff
2563      1       9         1         1         3         0         0         0         6125         //Thunder Staff
2564      1       9         1         1         3         0         0         0         6125         //Gorgon Staff
2565      1       9         1         1         3         0         0         0         6125         //Legendary Staff 
2053      2       9         1         1         3         0         0         0         4083         //Silver Bow
2056      2       9         1         1         3         0         0         0         4083         //Crossbow
2057      2       9         1         1         3         0         0         0         4083         //Golden Crossbow
2058      2       9         1         1         3         0         0         0         4083         //Arquebus
2059      2       9         1         1         3         0         0         0         4083         //Light Crossbow
2060      2       9         1         1         3         0         0         0         4083         //Serpent Crossbow
2061      2       9         1         1         3         0         0         0         4083         //Bluewing Crossbow
2062      2       9         1         1         3         0         0         0         4083         //Aquagold Crossbow
2064      2       9         1         1         3         0         0         0         4083         //Saint Crossbow 
1032      3       9         1         1         3         0         0         0         9800         //Battle Scepter
1033      3       9         1         1         3         0         0         0         9800         //Master Scepter
1034      3       9         1         1         3         0         0         0         9800         //Great Scepter 
2574      4       9         1         1         3         0         0         0         9800         //Mystery Stick
2575      4       9         1         1         3         0         0         0         9800         //Violent Wind Stick
2576      4       9         1         1         3         0         0         0         9800         //Red Wing Stick
2577      4       9         1         1         3         0         0         0         9800         //Ancient Stick 
end
