0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Blue Candy Box"	 1000	   100		  1		  0		    1		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           0      4          7          1       1      1        0
0           2      4          7          1       1      1        0
0           4      4          7          1       1      1        0
0           3      4          7          1       1      1        0
0           10     4          7          1       1      1        0
0           11     4          7          1       1      1        0
0           13     4          7          1       1      1        0
1           1      4          7          1       1      1        0
1           2      4          7          1       1      1        0
1           5      4          7          1       1      1        0
1           6      4          7          1       1      1        0
1           7      4          7          1       1      1        0
2           0      4          7          1       1      1        0
2           1      4          7          1       1      1        0
2           3      4          7          1       1      1        0
3           7      4          7          1       1      1        0
3           4      4          7          1       1      1        0
4           8      4          7          1       1      1        0
4           9      4          7          1       1      1        0
4           11     4          7          1       1      1        0
4           4      4          7          1       1      1        0
4           12     4          7          1       1      1        0
5           0      4          7          1       1      1        0
5           3      4          7          1       1      1        0
6           4      4          7          1       1      1        0
6           1      4          7          1       1      1        0
6           2      4          7          1       1      1        0
6           5      4          7          1       1      1        0
6           8      4          7          1       1      1        0
6           11     4          7          1       1      1        0 
13          2      0          0          0       0      0        0
13          8      0          0          0       0      0        0
13          9      0          0          0       0      0        0
13          12     0          0          0       0      0        0
13          13     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
12          15     0          0          0       0      0        0
end
