0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Maya Hand Left"	 1000	   50		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           17     0          9          1       1      0        2
0           18     0          9          1       1      0        2
2           11     0          9          1       1      0        2
4           19     0          9          1       1      0        2
5           9      0          9          1       1      0        2
0           14     0          9          1       1      0        2
5           5      0          9          1       1      0        2
4           14     0          9          1       1      0        2
4           16     0          9          1       1      0        2
2           9      0          9          1       1      0        2
2           4      0          9          1       1      0        2
2           5      0          9          1       1      0        2
6           15     0          9          1       1      0        2
6           12     0          9          1       1      0        2
6           16     0          9          1       1      0        2
7           34     0          9          0       1      0        2
9           34     0          9          0       1      0        2
10          34     0          9          0       1      0        2
11          34     0          9          0       1      0        2
7           35     0          9          0       1      0        2
9           35     0          9          0       1      0        2
10          35     0          9          0       1      0        2
11          35     0          9          0       1      0        2
7           36     0          9          0       1      0        2
9           36     0          9          0       1      0        2
10          36     0          9          0       1      0        2
11          36     0          9          0       1      0        2
9           37     0          9          0       1      0        2
10          37     0          9          0       1      0        2
11          37     0          9          0       1      0        2
7           38     0          9          0       1      0        2
9           38     0          9          0       1      0        2
10          38     0          9          0       1      0        2
11          38     0          9          0       1      0        2
8           17     0          9          0       1      0        2
9           17     0          9          0       1      0        2
8           18     0          9          0       1      0        2
9           18     0          9          0       1      0        2
8           19     0          9          0       1      0        2
9           19     0          9          0       1      0        2
8           20     0          9          0       1      0        2
9           20     0          9          0       1      0        2
8           27     0          9          0       1      0        2
9           27     0          9          0       1      0        2
7           16     0          9          0       1      0        2
9           16     0          9          0       1      0        2
10          16     0          9          0       1      0        2
11          16     0          9          0       1      0        2
10          17     0          9          0       1      0        2
11          17     0          9          0       1      0        2
9           3      0          9          0       1      0        2
8           3      0          9          0       1      0        2
10          18     0          9          0       1      0        2
11          18     0          9          0       1      0        2
8           14     0          9          0       1      0        2
9           14     0          9          0       1      0        2
10          19     0          9          0       1      0        2
11          19     0          9          0       1      0        2
10          15     0          9          0       1      0        2
11          15     0          9          0       1      0        2
10          26     0          9          0       1      0        2
9           26     0          9          0       1      0        2
11          26     0          9          0       1      0        2
14          19     0          9          0       1      0        2
13          18     0          9          0       1      0        2
14          28     0          9          0       1      0        2
end
