0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Maya Hand Right"	 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           17     9         13          1       1      1        3
0           18     9         13          1       1      1        3
2           11     9         13          1       1      1        3
4           19     9         13          1       1      1        3
5           9      9         13          1       1      1        3
0           14     9         13          1       0      1        3
5           5      9         13          1       0      1        3
4           14     9         13          1       0      1        3
4           16     9         13          1       0      1        3
2           9      9         13          1       0      1        3
2           4      9         13          1       0      1        3
2           5      9         13          1       0      1        3
6           15     9         13          1       0      1        3
6           12     9         13          1       0      1        3
6           16     9         13          1       0      1        3
7           34     9         13          1       0      1        3
9           34     9         13          1       0      1        3
10          34     9         13          1       0      1        3
11          34     9         13          1       0      1        3
7           35     9         13          1       0      1        3
9           35     9         13          1       0      1        3
10          35     9         13          1       0      1        3
11          35     9         13          1       0      1        3
7           36     9         13          1       0      1        3
9           36     9         13          1       0      1        3
10          36     9         13          1       0      1        3
11          36     9         13          1       0      1        3
9           37     9         13          1       0      1        3
10          37     9         13          1       0      1        3
11          37     9         13          1       0      1        3
7           38     9         13          1       0      1        3
9           38     9         13          1       0      1        3
10          38     9         13          1       0      1        3
11          38     9         13          1       0      1        3
8           17     9         13          1       0      1        3
9           17     9         13          1       0      1        3
8           18     9         13          1       0      1        3
9           18     9         13          1       0      1        3
8           19     9         13          1       0      1        3
9           19     9         13          1       0      1        3
8           20     9         13          1       0      1        3
9           20     9         13          1       0      1        3
8           27     9         13          1       0      1        3
9           27     9         13          1       0      1        3
7           16     9         13          1       1      1        3
9           16     9         13          1       1      1        3
10          16     9         13          1       1      1        3
11          16     9         13          1       1      1        3
10          17     9         13          1       1      1        3
11          17     9         13          1       1      1        3
9           3      9         13          1       1      1        3
8           3      9         13          1       1      1        3
10          18     9         13          1       1      1        3
11          18     9         13          1       1      1        3
8           14     9         13          1       1      1        3
9           14     9         13          1       1      1        3
10          19     9         13          1       1      1        3
11          19     9         13          1       1      1        3
10          15     9         13          1       1      1        3
11          15     9         13          1       1      1        3
10          26     9         13          1       1      1        3
9           26     9         13          1       1      1        3
11          26     9         13          1       1      1        3
14          19     4          5          0       0      0        0
13          18     5          6          0       0      0        0
14          28     6          7          0       0      0        0
end
