0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Nightmare"		 1000	   100		  3		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           20     13         13          1       1      1        3
0           21     13         13          1       1      1        3
4           20     13         13          1       1      1        3
2           12     13         13          1       1      1        3
5           11     13         13          1       1      1        3
0           16     13         13          1       1      0        3
3           10     13         13          1       1      0        3
5           6      13         13          1       1      0        3
5           9      13         13          1       1      0        3
2           10     13         13          1       1      0        3
0           31     13         13          1       1      0        3
0           20     13         13          1       1      0        3
2           12     13         13          1       1      0        3
4           20     13         13          1       1      0        3
6           13     13         13          1       1      0        3
6           16     13         13          1       1      0        3
8           34     13         13          1       1      1        3
8           35     13         13          1       1      1        3
8           36     13         13          1       1      1        3
8           37     13         13          1       1      1        3
8           38     13         13          1       1      1        3
8           29     13         13          1       1      1        3
8           30     13         13          1       1      1        3
8           31     13         13          1       1      1        3
8           32     13         13          1       1      1        3
8           33     13         13          1       1      1        3
7           21     13         13          1       1      1        3
8           21     13         13          1       1      1        3
9           21     13         13          1       1      1        3
7           22     13         13          1       1      1        3
8           22     13         13          1       1      1        3
9           22     13         13          1       1      1        3
7           24     13         13          1       1      1        3
8           24     13         13          1       1      1        3
9           24     13         13          1       1      1        3
8           23     13         13          1       1      1        3
9           23     13         13          1       1      1        3
10          23     13         13          1       1      1        3
11          23     13         13          1       1      1        3
7           27     13         13          1       1      1        3
8           27     13         13          1       1      1        3
9           27     13         13          1       1      1        3
8           16     13         13          1       1      1        3
7           17     13         13          1       1      1        3
8           17     13         13          1       1      1        3
9           17     13         13          1       1      1        3
7           18     13         13          1       1      1        3
8           18     13         13          1       1      1        3
9           18     13         13          1       1      1        3
7           19     13         13          1       1      1        3
8           19     13         13          1       1      1        3
9           19     13         13          1       1      1        3
8           15     13         13          1       1      1        3
9           15     13         13          1       1      1        3
7           26     13         13          1       1      1        3
8           26     13         13          1       1      1        3
10          21     13         13          1       1      1        3
11          21     13         13          1       1      1        3
10          22     13         13          1       1      1        3
11          22     13         13          1       1      1        3
10          24     13         13          1       1      1        3
11          24     13         13          1       1      1        3
10          20     13         13          1       1      1        3
11          20     13         13          1       1      1        3
10          27     13         13          1       1      1        3
11          27     13         13          1       1      1        3
14          19     6          6          0       0      0        0
13          18     6          7          0       0      0        0
14          28     6          7          0       0      0        0
end
