0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Cherry Blossom Box"	 5500	   75		  		1		  		0		    		0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent

14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          85     0          0          0       0      0        0 // Alcoholic Beve
14          85     0          0          0       0      0        0 // Alcoholic Beve
14          85     0          0          0       0      0        0 // Alcoholic Beve
14          85     0          0          0       0      0        0 // Alcoholic Beve
14          85     0          0          0       0      0        0 // Alcoholic Beve
14          85     0          0          0       0      0        0 // Alcoholic Beve
14          86     0          0          0       0      0        0 // Dumpling chocolate
14          87     0          0          0       0      0        0 // Petalo
//14          88     0          0          0       0      0        0 // White cherry
//14          89     0          0          0       0      0        0 // Red Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
14          90     0          0          0       0      0        0 // Gold Cherry
