//Section   Type   	Level   Dur   	Skill   Luck   	Option   	Excellent
6			0		0 		0 		1 		1 		2 			0 //Small Shield
6			4		1 		0 		1 		1 		2 			0 //Bukkler Shield
6			1		2 		0 		1 		1 		2 			0 //Horn Shield
6			2		3 		0 		1 		1 		2 			0 //Kite Shield
6			6		3 		0 		1 		1 		2 			0 //Skull Shield
6			1		3 		0 		1 		1 		2 			0 ///Large Round Shield
6			9		3 		0 		1 		1 		2 			0 //Plate Shield
6			7		3 		0 		1 		1 		2 			0 //Spike Shield
6			5		3 		0 		1 		1 		2 			0 //Dragon Slayer Shield
6			8		3 		0 		1 		1 		2 			0 //Tower Shield
6			11		3 		0 		1 		1 		2 			0 //Serpent Shield
6			12		3		0 		1 		1 		2 			0 //Bronze Shield 
0 			1 		0 		0 		1 		1 		2 			0 //Short Sword 
1			1 		1 		0 		1 		1 		2 			0 //Hand Sword 
2			0 		2 		0 		1 		1 		2 			0 //Mace Sword 
0 			2 		2 		0 		1 		1 		2 			0 //Rapier 
1 			2 		2 		0 		1 		1 		2 			0 //Double Axe 
0 			4 		3 		0 		1 		1 		2 			0 //Sword assasin 
2 			1 		3 		0 		1 		1 		2 			0 //Morning Star 
1			3 		3 		0 		1 		1 		2 			0 //Tomahawk 
0 			6 		3 		0 		1 		1 		2 			0 //Gladius		 
0 			7 		3 		0 		1 		1 		2 			0 //Falchion	 
0 			8 		3 		0 		1 		1 		2 			0 //Serpent Borg	 
0 			5 		3 		0 		1 		1 		2 			0 //Blade		 

//0 			3 		3 		0 		1 		1 		2 			0 //Katache 
//0 			4 		3 		0 		1 		1 		2 			0 //Scimitar	 
//0 			9 		3 		0 		1 		1 		2 			0 //Salamander		 
//0 			10 		3		0 		1 		1 		2 			0 //Light Saber		 
//0 			11 		3		0 		1 		1 		2 			0 //Legendary Sword	 
//0 			15 		3		0 		1 		1 		2 			0 //Giant Sword		 
//0 			12 		3		0 		1 		1 		2 			0 //Helical Sword	 
//0           32     0       0     1       1      1        0
//0           33     1       0     1       1      1        0
//0           34     2       0     1       1      1        0
//0           35     2       0     1       1      1        0
//2           18     2       0     1       1      1        0
//3           11     2       0     1       1      1        0
//5           36     2       0     1       1      1        0
//6           21     2       0     1       1      1        0
//12          130    2       0     1       1      1        0
//12          131    2       0     1       1      1        0
//12          132    2       0     1       1      1        0
//12          133    2       0     1       1      1        0
//12          134    2       0     1       1      1        0
//12          135    2       0     1       1      1        0
//13          107    0       1     0       0      0        0
//13          109    0       1     0       0      0        0
//13          110    0       1     0       0      0        0
//13          111    0       1     0       0      0        0
//13          112    0       1     0       0      0        0
//13          113    0       1     0       0      0        0
//13          114    0       1     0       0      0        0
//13          115    0       1     0       0      0        0
//14          125    0       1     0       0      0        0
//14          154    0       1     0       0      0        0
//14          153    0       1     0       0      0        0
//14          162    0       1     0       0      0        0
//13          166    0       1     0       0      0        0



//12	60	0	0	0	0	0	0 //Seed of Fire
//12	61	0	0	0	0	0	0 //Seed Water
//12	62	0	0	0	0	0	0 //Seed Ice
//12	63	0	0	0	0	0	0 //Seed Wind
//12	64	0	0	0	0	0	0 //Seed Lighting
//12	65	0	0	0	0	0	0 //Seed Ground
//12	70	0	0	0	0	0	0 //Spear 1 
//12	71	0	0	0	0	0	0 //Spear 2
//12	72	0	0	0	0	0	0 //Spear 3
//12	73	0	0	0	0	0	0 //Spear 4
//12	74	0	0	0	0	0	0 //Spear 5
//12	100	0	0	0	0	0	0 //Seed Spear 1 of Fire
//12	101	0	0	0	0	0	0 //Seed Spear 1 of Water
//12	102	0	0	0	0	0	0 //Seed Spear 1 of Ice
//12	103	0	0	0	0	0	0 //Seed Spear 1 of  Wind
//12	104	0	0	0	0	0	0 //Seed Spear 1 of Lighting
//12	105	0	0	0	0	0	0 //Seed Spear 1 of Ground
//12	106	0	0	0	0	0	0 //Seed Spear 2 Fire
//12	107	0	0	0	0	0	0 //Seed Spear 2 Water
//12	108	0	0	0	0	0	0 //Seed Spear 2 Ice
//12	109	0	0	0	0	0	0 //Seed Spear 2 Wind
//12	110	0	0	0	0	0	0 //Seed Spear 2 Lighting
//12	111	0	0	0	0	0	0 //Seed Spear 2 Ground
//12	112	0	0	0	0	0	0 //Seed Spear 3 Fire
//12	113	0	0	0	0	0	0 //Seed Spear 3 Water
//12	114	0	0	0	0	0	0 //Seed Spear 3 Ice
//12	115	0	0	0	0	0	0 //Seed Spear 3 Wind
//12	116	0	0	0	0	0	0 //Seed Spear 3 Lighting
//12	117	0	0	0	0	0	0 //Seed Spear 3 Ground
//12	118	0	0	0	0	0	0 //Seed Spear 4 Fire
//12	119	0	0	0	0	0	0 //Seed Spear 4 Water
//12	120	0	0	0	0	0	0 //Seed Spear 4 Ice
//12	121	0	0	0	0	0	0 //Seed Spear 4 Wind
//12	122	0	0	0	0	0	0 //Seed Spear 4 Lighting
//12	123	0	0	0	0	0	0 //Seed Spear 4 Ground
//12	124	0	0	0	0	0	0 //Seed Spear 5 Fire
//12	125	0	0	0	0	0	0 //Seed Spear 5 Water
//12	126	0	0	0	0	0	0 //Seed Spear 5 Ice
//12	127	0	0	0	0	0	0 //Seed Spear 5 Wind
//12	128	0	0	0	0	0	0 //Seed Spear 5 Lighting
//12	129	0	0	0	0	0	0 //Seed Spear 5 Ground

 

end



