//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
7           5      0       0     0       0      2        0 //Leather Armor +0+4
8           5      0       0     0       0      2        0 //Leather Helm +0+4
9           5      0       0     0       0      2        0 //Leather Gloves +0+4
10          5      0       0     0       0      2        0 //Leather Boots +0+4
11          5      0       0     0       0      2        0 //Leather Pants +0+4
7           0      2       0     0       0      2        0 //Bronze Armor +2+4
8           0      2       0     0       0      2        0 //Bronze Helm +2+4
9           0      2       0     0       0      2        0 //Bronze Gloves +2+4
10          0      2       0     0       0      2        0 //Bronze Boots +2+4
11          0      2       0     0       0      2        0 //Bronze Pants +2+4
7           6      3       0     0       0      2        0 //Scale Armor +3+4
8           6      3       0     0       0      2        0 //Scale Helm +3+4
9           6      3       0     0       0      2        0 //Scale Gloves +3+4
10          6      3       0     0       0      2        0 //Scale Boots +3+4
11          6      3       0     0       0      2        0 //Scale Pants +3+4
7           8      3       0     0       0      2        0 //Brass Armor +3+4
8           8      3       0     0       0      2        0 //Brass Helm +3+4
9           8      3       0     0       0      2        0 //Brass Gloves +3+4
10          8      3       0     0       0      2        0 //Brass Boots +3+4
11          8      3       0     0       0      2        0 //Brass Pants +3+4
7           9      3       0     0       0      2        0 //Plate Armor +3+4
8           9      3       0     0       0      2        0 //Plate Helm +3+4
9           9      3       0     0       0      2        0 //Plate Gloves +3+4
10          9      3       0     0       0      2        0 //Plate Boots +3+4
11          9      3       0     0       0      2        0 //Plate Pants +3+4
end

























