//Section   Type   Level   Dur   Skill   Luck   Option   Excellent 
 14          0      0       1     0       0      0        0
 14          1      0       1     0       0      0        0
 14          2      0       1     0       0      0        0
 14          3      0       1     0       0      0        0
 14          4      0       1     0       0      0        0
 14          5      0       1     0       0      0        0
 14          6      0       1     0       0      0        0
 14          8      0       1     0       0      0        0
//
//14          0      0       30    0       0      0        0
//14          1      0       30    0       0      0        0
//14          2      0       30    0       0      0        0
//14          3      0       30    0       0      0        0
//14          4      0       30    0       0      0        0
//14          5      0       30    0       0      0        0
//14          6      0       30    0       0      0        0
//14          8      0       3     0       0      0        0
 
//14          0      1       60    0       0      0        0   
//14          1      1       60    0       0      0        0   
//14          2      1       60    0       0      0        0   
//14          3      1       60    0       0      0        0   
//14          4      1       60    0       0      0        0   
//14          5      1       60    0       0      0        0   
//14          6      1       60    0       0      0        0   
//14          8      6       10    0       0      0        0   
//                                                             
//14          0      2       90    0       0      0        0   
//14          1      2       90    0       0      0        0   
//14          2      2       90    0       0      0        0   
//14          3      2       90    0       0      0        0   
//14          4      2       90    0       0      0        0   
//14          5      2       90    0       0      0        0   
//14          6      2       90    0       0      0        0   
//14          8      7       30    0       0      0        0   


4           7      0       255   0       0      0        0
4           7      1       255   0       0      0        0
4           7      2       255   0       0      0        0
4           7      3       255   0       0      0        0


14          3      1       60    0       0      0        0 
14          3      2       90    0       0      0        0
14          6      1       60    0       0      0        0
14          6      2       90    0       0      0        0

4           15     0       255   0       0      0        0
4           15     1       255   0       0      0        0
4           15     2       255   0       0      0        0
4           15     3       255   0       0      0        0

14          8      8       25    0       0      0        0

//13          7      0       1     0       0      0        0
//13          7      1       1     0       0      0        0
14          10     0       1     0       0      0        0
13          29     0       1     0       0      0        0
end

